id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1193237,2024-01-03,000001,Vente,447000,18,,PL DU MARCHE ST HONORE,6033,75001,75101,Paris 1er Arrondissement,75,,,75101000AZ0087,,,27,,5,,,,,,,,2,3,Dépendance,,0,,,,,,2.331672,48.86631
2024-1193237,2024-01-03,000001,Vente,447000,18,,PL DU MARCHE ST HONORE,6033,75001,75101,Paris 1er Arrondissement,75,,,75101000AZ0087,,,27,,5,,,,,,,,2,2,Appartement,33,2,,,,,,2.331672,48.86631
2024-1193270,2024-01-11,000001,Vente,10000,29,,RUE DU PONT NEUF,7619,75001,75101,Paris 1er Arrondissement,75,,,75101000AT0065,,,23,4.38,,,,,,,,,1,3,Dépendance,,0,,,,,,2.344571,48.860928
2024-1193359,2024-01-12,000001,Vente,1247000,46,,RUE CROIX DES PETITS CHAMPS,2453,75001,75101,Paris 1er Arrondissement,75,,,75101000AR0006,,,12,,13,,34,,,,,,3,2,Appartement,72,3,,,,,,2.340682,48.8648
2024-1193384,2024-01-16,000001,Vente,53000,11,,RUE BERTIN POIREE,0920,75001,75101,Paris 1er Arrondissement,75,,,75101000AN0109,,,455,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.344428,48.858889
2024-1193405,2024-01-12,000001,Vente,67850,14,,RUE D ALGER,0191,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0036,,,15,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.330206,48.865499
2024-1193408,2024-01-04,000001,Vente,100000,24,,RUE DE MONTPENSIER,6528,75001,75101,Paris 1er Arrondissement,75,,,75101000AV0033,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.337119,48.865114
2024-1193453,2024-01-11,000001,Vente,60000,165,,RUE SAINT-HONORE,8635,75001,75101,Paris 1er Arrondissement,75,,,75101000AX0080,,,47,4.29,,,,,,,,,1,3,Dépendance,,0,,,,,,2.334562,48.863418
2024-1193458,2024-01-12,000001,Vente,262000,49,,RUE DE L ARBRE SEC,0407,75001,75101,Paris 1er Arrondissement,75,,,75101000AT0127,,,22,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.342239,48.861296
2024-1193458,2024-01-12,000001,Vente,262000,49,,RUE DE L ARBRE SEC,0407,75001,75101,Paris 1er Arrondissement,75,,,75101000AT0127,,,22,,,,,,,,,,1,2,Appartement,23,1,,,,,,2.342239,48.861296
2024-1193461,2024-01-08,000001,Vente,45000,179,,RUE SAINT-HONORE,8635,75001,75101,Paris 1er Arrondissement,75,,,75101000AX0092,,,43,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.333161,48.864135
2024-1193563,2024-01-17,000001,Vente,995000,8,,RUE DU MONT-THABOR,6537,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0022,,,49,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.329118,48.865772
2024-1193563,2024-01-17,000001,Vente,995000,8,,RUE DU MONT-THABOR,6537,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0022,,,49,,,,,,,,,,1,2,Appartement,129,4,,,,,,2.329118,48.865772
2024-1193601,2024-01-16,000001,Vente,550000,23,,RUE BERGER,0885,75001,75101,Paris 1er Arrondissement,75,,,75101000AO0001,,,100202,,,,,,,,,,1,2,Appartement,59,2,,,,,,2.345729,48.860977
2024-1193642,2024-01-19,000001,Vente,1690000,255,,RUE SAINT-HONORE,8635,75001,75101,Paris 1er Arrondissement,75,,,75101000BD0058,,,117,,,,,,,,,,1,2,Appartement,85,5,,,,,,2.326348,48.866939
2024-1193652,2024-01-11,000001,Vente,3000000,229,,RUE SAINT-HONORE,8635,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0031,,,40,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.329172,48.865988
2024-1193652,2024-01-11,000001,Vente,3000000,229,,RUE SAINT-HONORE,8635,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0031,,,50,,52,,,,,,,,2,3,Dépendance,,0,,,,,,2.329172,48.865988
2024-1193652,2024-01-11,000001,Vente,3000000,229,,RUE SAINT-HONORE,8635,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0031,,,50,,52,,,,,,,,2,2,Appartement,120,4,,,,,,2.329172,48.865988
2024-1193652,2024-01-11,000001,Vente,3000000,229,,RUE SAINT-HONORE,8635,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0031,,,39,,51,,,,,,,,2,3,Dépendance,,0,,,,,,2.329172,48.865988
